date,pressure,pH,index
2016-02-14 16:00:00,197.465,8.00489,45
2016-02-14 17:00:00,21.8976,7.92879,45
2016-02-14 18:00:00,197,8.03402,45
2016-02-14 19:00:00,62.5331,7.93006,45
2016-02-14 20:00:00,196.281,8.03712,45
2016-02-14 21:00:00,90.7717,7.86562,45
2016-02-14 22:00:00,196.63,7.89276,45
2016-02-14 23:00:00,181.747,7.87116,45
2016-02-15 00:00:00,28.8915,7.95754,46
2016-02-15 01:00:00,116.768,7.95111,46
2016-02-15 02:00:00,197.743,8.09595,46
2016-02-15 03:00:00,150.957,8.06887,46
2016-02-15 04:00:00,88.7559,7.95023,46
2016-02-15 05:00:00,196.889,7.97426,46
2016-02-15 06:00:00,35.2901,8.00092,46
2016-02-15 07:00:00,196.79,8.0164,46
2016-02-15 08:00:00,76.6394,7.86336,46
2016-02-15 09:00:00,196.849,8.04732,46
2016-02-15 10:00:00,151.113,7.99262,46
2016-02-15 11:00:00,89.6855,7.95312,46
2016-02-15 12:00:00,198.284,7.99206,46
2016-02-15 13:00:00,64.3691,7.92683,46
2016-02-15 14:00:00,88.1989,7.95762,46
2016-02-15 15:00:00,198.001,8.16837,46
2016-02-15 16:00:00,197.729,8.04945,46
2016-02-15 17:00:00,22.6523,7.95724,46
2016-02-15 18:00:00,196.676,7.92438,46
2016-02-15 19:00:00,62.3185,7.91922,46
2016-02-15 20:00:00,195.936,8.06852,46
2016-02-15 21:00:00,90.2727,7.9244,46
2016-02-15 22:00:00,196.185,7.96208,46
2016-02-15 23:00:00,181.239,7.95831,46
2016-02-16 00:00:00,28.1005,7.96408,47
2016-02-16 01:00:00,116.636,7.94097,47
2016-02-16 02:00:00,197.779,8.05053,47
2016-02-16 03:00:00,151.302,7.99961,47
2016-02-16 04:00:00,89.2271,7.85389,47
2016-02-16 05:00:00,197.385,8.13357,47
2016-02-16 06:00:00,35.3771,8.0037,47
2016-02-16 07:00:00,196.835,8.01291,47
2016-02-16 08:00:00,76.5624,8.01462,47
2016-02-16 09:00:00,196.5,7.89895,47
2016-02-16 10:00:00,150.68,8.00014,47
2016-02-16 11:00:00,89.0639,7.95774,47
2016-02-16 12:00:00,198.045,8.03452,47
2016-02-16 13:00:00,63.9132,7.91756,47
2016-02-16 14:00:00,87.9802,7.83124,47
2016-02-16 15:00:00,198.262,7.88229,47
2016-02-16 16:00:00,198.199,8.03265,47
2016-02-16 17:00:00,22.4319,7.94067,47
2016-02-16 18:00:00,197.374,8.12107,47
2016-02-16 19:00:00,62.7722,7.93813,47
2016-02-16 20:00:00,196.391,8.14006,47
2016-02-16 21:00:00,90.3439,7.85203,47
2016-02-16 22:00:00,195.783,7.9851,47
2016-02-16 23:00:00,180.755,7.97868,47
2016-02-17 00:00:00,27.2451,7.92078,48
2016-02-17 01:00:00,115.932,7.99242,48
2016-02-17 02:00:00,197.622,7.96047,48
2016-02-17 03:00:00,151.169,7.7613,48
2016-02-17 04:00:00,89.3052,7.95846,48
2016-02-17 05:00:00,197.68,8.07085,48
2016-02-17 06:00:00,35.4349,7.9358,48
2016-02-17 07:00:00,197.222,7.99735,48
2016-02-17 08:00:00,76.956,8.0346,48
2016-02-17 09:00:00,196.715,7.90599,48
2016-02-17 10:00:00,150.607,8.03013,48
2016-02-17 11:00:00,88.9452,7.8756,48
2016-02-17 12:00:00,197.772,8.09161,48
2016-02-17 13:00:00,63.7516,7.83522,48
2016-02-17 14:00:00,88.147,7.85955,48
2016-02-17 15:00:00,198.586,7.90813,48
2016-02-17 16:00:00,198.638,7.87314,48
2016-02-17 17:00:00,23.8157,7.92501,48
2016-02-17 18:00:00,197.761,8.07093,48
2016-02-17 19:00:00,62.9805,7.93013,48
2016-02-17 20:00:00,196.554,8.19371,48
2016-02-17 21:00:00,90.4476,7.96465,48
2016-02-17 22:00:00,195.673,8.04988,48
2016-02-17 23:00:00,180.598,8.66321,48
2016-02-18 00:00:00,28.4638,7.93445,49
2016-02-18 01:00:00,115.813,7.89239,49
2016-02-18 02:00:00,197.507,8.01301,49
2016-02-18 03:00:00,151.482,7.95164,49
2016-02-18 04:00:00,89.495,8.0579,49
2016-02-18 05:00:00,198.156,7.9685,49
2016-02-18 06:00:00,36.5177,7.9358,49
2016-02-18 07:00:00,197.646,7.88839,49
2016-02-18 08:00:00,77.0954,7.84605,49
2016-02-18 09:00:00,196.82,7.91754,49
2016-02-18 10:00:00,150.515,7.92277,49
2016-02-18 11:00:00,88.5131,8.01518,49
2016-02-18 12:00:00,197.376,7.99618,49
2016-02-18 13:00:00,63.4234,7.96767,49
2016-02-18 14:00:00,87.6772,8.00415,49
2016-02-18 15:00:00,198.413,8.01132,49
2016-02-18 16:00:00,198.678,8.07302,49
2016-02-18 17:00:00,24.0309,7.95119,49
2016-02-18 18:00:00,198.328,7.84544,49
2016-02-18 19:00:00,63.5188,7.86704,49
2016-02-18 20:00:00,197.231,8.02314,49
2016-02-18 21:00:00,91.0967,7.98019,49
2016-02-18 22:00:00,195.939,8.14005,49
2016-02-18 23:00:00,180.599,8.08433,49
2016-02-19 00:00:00,26.946,7.95784,50
2016-02-19 01:00:00,115.176,7.83835,50
2016-02-19 02:00:00,196.82,8.14249,50
2016-02-19 03:00:00,150.785,8.05083,50
2016-02-19 04:00:00,122.111,8.07533,50
2016-02-19 05:00:00,198.13,8.07637,50
2016-02-19 06:00:00,36.2894,7.96698,50
2016-02-19 07:00:00,198.005,7.98944,50
2016-02-19 08:00:00,78.6932,7.95435,50
2016-02-19 09:00:00,197.24,8.00186,50
2016-02-19 10:00:00,150.931,8.20124,50
2016-02-19 11:00:00,88.6316,7.9796,50
2016-02-19 12:00:00,197.336,8.01455,50
2016-02-19 13:00:00,63.9919,7.91516,50
2016-02-19 14:00:00,88.4058,7.99756,50
2016-02-19 15:00:00,198.977,8.03086,50
2016-02-19 16:00:00,199.002,7.99193,50
2016-02-19 17:00:00,24.6466,7.94023,50
2016-02-19 18:00:00,198.737,8.06869,50
2016-02-19 19:00:00,64.1309,7.94334,50
2016-02-19 20:00:00,197.742,8.02252,50
2016-02-19 21:00:00,91.0363,7.86621,50
2016-02-19 22:00:00,196.194,8.09815,50
