date,pCO2,pH
2016-01-04 09:00:00,313.471,8.06315
2016-01-04 10:00:00,313.57,8.06212
2016-01-04 11:00:00,316.231,8.05242
2016-01-04 12:00:00,312.577,8.04909
2016-01-04 13:00:00,311.763,8.00771
2016-01-04 14:00:00,311.416,8.05789
2016-01-04 15:00:00,312.17,8.03685
2016-01-04 16:00:00,311.944,8.05746
2016-01-04 17:00:00,312.809,8.0416
2016-01-04 18:00:00,312.073,8.04497
2016-01-04 19:00:00,312.5,8.02932
2016-01-04 20:00:00,314.428,8.05853
2016-01-04 21:00:00,311.536,8.0553
2016-01-04 22:00:00,312.491,8.05545
2016-01-04 23:00:00,311.884,8.03852
2016-01-05 00:00:00,312.292,8.03852
2016-01-05 01:00:00,312.302,8.06847
2016-01-05 02:00:00,312.809,8.06143
2016-01-05 03:00:00,312.391,8.07032
2016-01-05 04:00:00,312.025,8.05635
2016-01-05 05:00:00,314.376,8.06753
2016-01-05 06:00:00,311.13,8.03657
2016-01-05 07:00:00,311.109,8.09529
2016-01-05 08:00:00,310.479,8.10167
2016-01-05 09:00:00,311.028,8.08825
2016-01-05 10:00:00,311.305,8.07167
2016-01-05 11:00:00,312.423,8.07096
2016-01-05 12:00:00,312.241,8.07245
2016-01-05 13:00:00,311.677,8.07197
2016-01-05 14:00:00,314.581,8.06558
2016-01-05 15:00:00,311.228,8.07117
2016-01-05 16:00:00,312.187,8.07315
2016-01-05 17:00:00,311.508,8.07584
2016-01-05 18:00:00,311.894,8.07183
2016-01-05 19:00:00,311.615,8.07713
2016-01-05 20:00:00,312.028,8.04353
2016-01-05 21:00:00,311.477,8.0787
2016-01-05 22:00:00,311.537,8.07473
2016-01-05 23:00:00,313.972,8.07365
2016-01-06 00:00:00,310.368,8.05675
2016-01-06 01:00:00,310.692,8.06
2016-01-06 02:00:00,310.752,8.05589
2016-01-06 03:00:00,310.661,8.06065
2016-01-06 04:00:00,310.56,8.04147
2016-01-06 05:00:00,311.308,8.05605
2016-01-06 06:00:00,311.136,8.05178
2016-01-06 07:00:00,310.863,8.05068
2016-01-06 08:00:00,314.825,8.06108
