date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-05-10 15:00:00,5.8564,3.7011,1.2221,0.2299
2015-05-10 16:00:00,6.9817,2.2703,1.1374,0.3509
2015-05-10 17:00:00,NaN,4.2778,1.1011,0.4598
2015-05-10 18:00:00,7.2237,2.8251,0.9438,0.3872
2015-05-10 19:00:00,6.05,3.2485,0.9801,0.3993
2015-05-10 20:00:00,18.1621,2.8397,1.1132,0.5566
2015-05-10 21:00:00,15.9478,3.5332,1.331,0.6171
2015-05-10 22:00:00,9.8978,3.5478,1.2584,0.8591
2015-05-10 23:00:00,13.7819,4.2559,1.3915,0.8591
2015-05-11 00:00:00,11.132,3.0952,1.2221,0.7018
2015-05-11 01:00:00,16.1293,3.6792,1.3552,0.7018
2015-05-11 02:00:00,13.7456,3.431,1.694,0.7865
2015-05-11 03:00:00,6.6792,4.0588,1.5609,0.6897
2015-05-11 04:00:00,6.292,4.8107,1.5246,0.6413
2015-05-11 05:00:00,7.986,5.11,1.4157,0.8107
2015-05-11 06:00:00,11.2651,3.4164,1.5246,0.8954
2015-05-11 07:00:00,13.2132,3.4383,1.331,0.605
2015-05-11 08:00:00,18.2347,2.8835,1.1858,0.6292
2015-05-11 09:00:00,14.5442,2.9419,1.1374,0.605
2015-05-11 10:00:00,17.2667,3.2996,1.0164,0.5929
2015-05-11 11:00:00,20.9088,3.3288,1.1374,0.5808
2015-05-11 12:00:00,23.2683,3.1244,1.089,0.4356
2015-05-11 13:00:00,17.9806,3.4237,1.21,0.2904
2015-05-11 14:00:00,15.8752,2.7521,0.8833,0.2662
2015-05-11 15:00:00,13.7456,2.8908,1.0769,0.4356
2015-05-11 16:00:00,13.8182,1.9564,1.0164,0.5687
2015-05-11 17:00:00,13.3947,2.555,1.0648,0.2662
2015-05-11 18:00:00,12.3057,1.7958,1.3794,0.5203
2015-05-11 19:00:00,15.0887,2.0586,1.0648,0.0121
2015-05-11 20:00:00,16.5286,2.2703,1.1374,-0.0242
2015-05-11 21:00:00,11.9064,1.6644,1.1979,0.1936
2015-05-11 22:00:00,8.0586,1.9053,1.4883,0.7139
2015-05-11 23:00:00,15.4396,2.1535,1.573,1.1132
2015-05-12 00:00:00,35.6708,2.8178,1.3673,0.4719
2015-05-12 01:00:00,27.5033,2.0659,1.4399,0.7502
2015-05-12 02:00:00,13.8303,11.9282,1.3431,0.9438
2015-05-12 03:00:00,17.4724,13.1984,1.2705,0.6897
2015-05-12 04:00:00,13.6004,14.8847,1.1253,0.5082
2015-05-12 05:00:00,NaN,14.4686,1.1132,0.6413
2015-05-12 06:00:00,10.6117,11.1909,1.1858,0.7018
2015-05-12 07:00:00,12.3904,12.483,1.1132,0.6171
2015-05-12 08:00:00,13.0075,10.3952,1.1132,0.5324
2015-05-12 09:00:00,20.8362,11.607,1.0769,0.5687
2015-05-12 10:00:00,25.5189,9.3002,0.9922,0.4477
2015-05-12 11:00:00,24.9502,10.4609,1.0164,0.4719
2015-05-12 12:00:00,20.0255,9.5046,1.1495,0.5324
2015-05-12 13:00:00,5.2272,10.1178,1.1132,0.7744
2015-05-12 14:00:00,4.5859,11.3223,0.9922,0.4598
2015-05-12 15:00:00,4.6706,10.2492,0.968,0.3993
2015-05-12 16:00:00,5.3966,10.9135,0.847,0.363
2015-05-12 17:00:00,6.413,12.556,0.8591,0.3751
2015-05-12 18:00:00,6.7155,8.6286,0.8954,-0.1936
2015-05-12 19:00:00,8.0344,5.4531,0.9317,0.4235
2015-05-12 20:00:00,10.4665,4.2121,1.0164,0.5324
2015-05-12 21:00:00,10.2971,4.0807,1.1979,0.9075
2015-05-12 22:00:00,25.3253,3.4821,1.1979,0.8591
2015-05-12 23:00:00,25.1559,4.8399,1.2342,0.6413
2015-05-13 00:00:00,13.5278,9.9791,1.2826,0.6171
2015-05-13 01:00:00,10.1035,8.8184,1.331,0.5687
2015-05-13 02:00:00,6.3646,6.9715,1.3189,0.6655
2015-05-13 03:00:00,4.3439,6.6065,1.2342,0.6171
2015-05-13 04:00:00,4.3802,8.3731,1.2705,0.6776
2015-05-13 05:00:00,6.8607,6.5335,1.1979,0.5808
2015-05-13 06:00:00,4.0051,9.4389,1.2342,0.605
2015-05-13 07:00:00,5.8201,13.8262,1.21,0.5203
2015-05-13 08:00:00,23.3046,11.4756,1.1858,0.5566
2015-05-13 09:00:00,10.9021,7.1467,1.1737,0.6292
2015-05-13 10:00:00,8.6031,4.453,1.1011,0.4114
2015-05-13 11:00:00,9.5227,3.3872,1.1011,0.7018
2015-05-13 12:00:00,12.7776,2.5988,1.0406,0.4235
2015-05-13 13:00:00,6.7518,4.3362,0.9559,-0.0605
2015-05-13 14:00:00,4.9731,4.1172,0.9196,0.2904
2015-05-13 15:00:00,4.4165,4.7742,0.9075,0.3993
2015-05-13 16:00:00,4.7432,8.0373,0.8833,0.3872
2015-05-13 17:00:00,2.662,5.8911,0.8712,0.3146
2015-05-13 18:00:00,4.4891,5.8838,0.847,0.2662
2015-05-13 19:00:00,5.2877,11.6143,0.8712,0.3025
2015-05-13 20:00:00,12.1726,12.2859,0.9196,0.363
2015-05-13 21:00:00,12.2936,8.8038,1.0527,0.3872
2015-05-13 22:00:00,13.8545,3.7595,1.1253,0.3872
2015-05-13 23:00:00,17.3635,5.8911,1.1495,0.5445
2015-05-14 00:00:00,25.3374,4.0588,1.0769,0.4961
2015-05-14 01:00:00,33.8074,4.5333,1.331,0.6413
2015-05-14 02:00:00,4.2108,6.4386,1.2463,0.6776
2015-05-14 03:00:00,3.0855,6.4605,1.1253,0.4356
