time,Barometric Pressure,Wind Speed,Significant Wave Height
2018-01-15T13:00:00Z,1034.351,9.082,1.98
2018-01-15T14:00:00Z,1034.08,9.178,2.06
2018-01-15T15:00:00Z,1033.207,9.805,2.37
2018-01-15T16:00:00Z,1032.003,8.985,2.4
2018-01-15T17:00:00Z,1030.497,8.565,2.32
2018-01-15T18:00:00Z,1029.668,9.669,2.31
2018-01-15T19:00:00Z,1029.994,8.819,2.01
2018-01-15T20:00:00Z,1029.545,8.871,2.38
2018-01-15T21:00:00Z,1029.542,8.992,2.66
2018-01-15T22:00:00Z,1029.291,9.045,2.59
2018-01-15T23:00:00Z,1029.185,8.98,2.7
2018-01-16T00:00:00Z,1029.433,8.863,2.41
2018-01-16T01:00:00Z,1030.161,9.352,3.09
2018-01-16T02:00:00Z,1030.488,9.797,3.19
2018-01-16T03:00:00Z,1030.142,10.149,3.51
2018-01-16T04:00:00Z,1029.845,8.875,3.18
2018-01-16T05:00:00Z,1029.898,8.564,3.13
2018-01-16T06:00:00Z,1029.958,8.553,2.94
2018-01-16T07:00:00Z,1030.109,7.89,2.86
2018-01-16T08:00:00Z,1030.533,6.453,2.64
2018-01-16T09:00:00Z,1030.62,5.803,2.49
2018-01-16T10:00:00Z,1031.528,5.265,3.42
2018-01-16T11:00:00Z,1032.023,5.153,2.32
2018-01-16T12:00:00Z,1032.253,4.527,3.12
2018-01-16T13:00:00Z,1032.668,3.856,2.59
2018-01-16T14:00:00Z,1033.128,3.372,2.46
2018-01-16T15:00:00Z,1033.048,2.107,2.54
2018-01-16T16:00:00Z,1032.393,1.379,2.46
2018-01-16T17:00:00Z,1031.624,1.307,2.41
2018-01-16T18:00:00Z,1031.103,1.972,2.51
2018-01-16T19:00:00Z,1031.188,1.361,1.7
2018-01-16T20:00:00Z,1030.906,2.813,2.42
2018-01-16T21:00:00Z,1030.896,3.122,2.26
2018-01-16T22:00:00Z,1030.896,3.745,1.89
2018-01-16T23:00:00Z,1030.779,5.42,1.94
2018-01-17T00:00:00Z,1030.143,5.989,1.55
2018-01-17T01:00:00Z,1029.915,7.681,1.98
2018-01-17T02:00:00Z,1029.947,7.252,1.58
2018-01-17T03:00:00Z,1029.35,7.504,1.62
2018-01-17T04:00:00Z,1028.536,7.355,2.13
2018-01-17T05:00:00Z,1027.532,7.157,1.88
2018-01-17T06:00:00Z,1026.319,7.059,1.61
2018-01-17T07:00:00Z,1025.447,6.913,1.64
2018-01-17T08:00:00Z,1024.533,7.249,1.61
2018-01-17T09:00:00Z,1024.205,6.979,1.75
2018-01-17T10:00:00Z,1022.433,9.517,2.07
2018-01-17T11:00:00Z,1020.996,10.508,2.03
2018-01-17T12:00:00Z,1021.456,8.534,2.09
